Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2020;10.314
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2019;10.182
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2018;9.710
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2017;9.290
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2016;8.892
Total Nacional;Andalucía;Córdoba;;Renta neta media por persona;2015;8.614
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2023;30.917
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2022;29.082
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2021;27.909
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2020;26.462
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2019;26.299
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2018;25.246
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2017;24.379
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2016;23.541
Total Nacional;Andalucía;Córdoba;;Renta neta media por hogar;2015;22.879
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2023;18.384
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2022;17.269
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2021;16.439
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2020;15.458
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2019;15.318
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2018;14.635
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2017;14.022
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2016;13.436
Total Nacional;Andalucía;Córdoba;;Media de la renta por unidad de consumo;2015;13.039
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2023;15.750
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2022;15.050
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2021;14.350
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2020;12.950
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2019;12.950
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2018;12.250
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2017;12.250
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2016;11.550
Total Nacional;Andalucía;Córdoba;;Mediana de la renta por unidad de consumo;2015;10.850
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2023;14.682
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2022;13.652
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2021;12.895
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2020;12.019
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2019;11.874
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2018;11.317
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2017;10.802
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2016;10.300
Total Nacional;Andalucía;Córdoba;;Renta bruta media por persona;2015;9.948
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2023;36.646
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2022;34.316
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2021;32.782
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2020;30.839
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2019;30.671
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2018;29.424
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2017;28.347
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2016;27.270
Total Nacional;Andalucía;Córdoba;;Renta bruta media por hogar;2015;26.424
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2023;12.709
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2022;11.754
Total Nacional;Andalucía;Granada;;Renta neta media por persona;2021;11.100
